source,region,country,year,metric_type,value
Energy Institute,European Union #,,1965,CO₂ emissions from energy (MtCO₂),2629.162499
Energy Institute,European Union #,,1966,CO₂ emissions from energy (MtCO₂),2675.214528
Energy Institute,European Union #,,1967,CO₂ emissions from energy (MtCO₂),2753.867892
Energy Institute,European Union #,,1968,CO₂ emissions from energy (MtCO₂),2934.73035
Energy Institute,European Union #,,1969,CO₂ emissions from energy (MtCO₂),3158.761224
Energy Institute,European Union #,,1970,CO₂ emissions from energy (MtCO₂),3342.544952
Energy Institute,European Union #,,1971,CO₂ emissions from energy (MtCO₂),3416.92546
Energy Institute,European Union #,,1972,CO₂ emissions from energy (MtCO₂),3559.072129
Energy Institute,European Union #,,1973,CO₂ emissions from energy (MtCO₂),3736.968577
Energy Institute,European Union #,,1974,CO₂ emissions from energy (MtCO₂),3665.763913
Energy Institute,European Union #,,1975,CO₂ emissions from energy (MtCO₂),3598.946561
Energy Institute,European Union #,,1976,CO₂ emissions from energy (MtCO₂),3849.138521
Energy Institute,European Union #,,1977,CO₂ emissions from energy (MtCO₂),3837.648006
Energy Institute,European Union #,,1978,CO₂ emissions from energy (MtCO₂),3871.008101
Energy Institute,European Union #,,1979,CO₂ emissions from energy (MtCO₂),3993.496149
Energy Institute,European Union #,,1980,CO₂ emissions from energy (MtCO₂),3946.786227
Energy Institute,European Union #,,1981,CO₂ emissions from energy (MtCO₂),3761.417299
Energy Institute,European Union #,,1982,CO₂ emissions from energy (MtCO₂),3671.760451
Energy Institute,European Union #,,1983,CO₂ emissions from energy (MtCO₂),3622.890686
Energy Institute,European Union #,,1984,CO₂ emissions from energy (MtCO₂),3659.47395
Energy Institute,European Union #,,1985,CO₂ emissions from energy (MtCO₂),3793.302424
Energy Institute,European Union #,,1986,CO₂ emissions from energy (MtCO₂),3802.872658
Energy Institute,European Union #,,1987,CO₂ emissions from energy (MtCO₂),3848.895856
Energy Institute,European Union #,,1988,CO₂ emissions from energy (MtCO₂),3818.546274
Energy Institute,European Union #,,1989,CO₂ emissions from energy (MtCO₂),3840.843004
Energy Institute,European Union #,,1990,CO₂ emissions from energy (MtCO₂),3745.32023
Energy Institute,European Union #,,1991,CO₂ emissions from energy (MtCO₂),3687.48617
Energy Institute,European Union #,,1992,CO₂ emissions from energy (MtCO₂),3564.819916
Energy Institute,European Union #,,1993,CO₂ emissions from energy (MtCO₂),3506.495516
Energy Institute,European Union #,,1994,CO₂ emissions from energy (MtCO₂),3461.683504
Energy Institute,European Union #,,1995,CO₂ emissions from energy (MtCO₂),3525.221768
Energy Institute,European Union #,,1996,CO₂ emissions from energy (MtCO₂),3623.808887
Energy Institute,European Union #,,1997,CO₂ emissions from energy (MtCO₂),3570.056258
Energy Institute,European Union #,,1998,CO₂ emissions from energy (MtCO₂),3579.992566
Energy Institute,European Union #,,1999,CO₂ emissions from energy (MtCO₂),3526.416574
Energy Institute,European Union #,,2000,CO₂ emissions from energy (MtCO₂),3523.077275
Energy Institute,European Union #,,2001,CO₂ emissions from energy (MtCO₂),3571.153708
Energy Institute,European Union #,,2002,CO₂ emissions from energy (MtCO₂),3577.650156
Energy Institute,European Union #,,2003,CO₂ emissions from energy (MtCO₂),3667.505907
Energy Institute,European Union #,,2004,CO₂ emissions from energy (MtCO₂),3685.452033
Energy Institute,European Union #,,2005,CO₂ emissions from energy (MtCO₂),3672.281842
Energy Institute,European Union #,,2006,CO₂ emissions from energy (MtCO₂),3700.629137
Energy Institute,European Union #,,2007,CO₂ emissions from energy (MtCO₂),3646.353356
Energy Institute,European Union #,,2008,CO₂ emissions from energy (MtCO₂),3573.281425
Energy Institute,European Union #,,2009,CO₂ emissions from energy (MtCO₂),3300.416502
Energy Institute,European Union #,,2010,CO₂ emissions from energy (MtCO₂),3384.147567
Energy Institute,European Union #,,2011,CO₂ emissions from energy (MtCO₂),3298.839051
Energy Institute,European Union #,,2012,CO₂ emissions from energy (MtCO₂),3218.181772
Energy Institute,European Union #,,2013,CO₂ emissions from energy (MtCO₂),3147.68055
Energy Institute,European Union #,,2014,CO₂ emissions from energy (MtCO₂),2981.446192
Energy Institute,European Union #,,2015,CO₂ emissions from energy (MtCO₂),3040.477307
Energy Institute,European Union #,,2016,CO₂ emissions from energy (MtCO₂),3067.18176
Energy Institute,European Union #,,2017,CO₂ emissions from energy (MtCO₂),3117.047672
Energy Institute,European Union #,,2018,CO₂ emissions from energy (MtCO₂),3065.732231
Energy Institute,European Union #,,2019,CO₂ emissions from energy (MtCO₂),2924.896428
Energy Institute,European Union #,,2020,CO₂ emissions from energy (MtCO₂),2564.164921
Energy Institute,European Union #,,2021,CO₂ emissions from energy (MtCO₂),2751.782181
Energy Institute,European Union #,,2022,CO₂ emissions from energy (MtCO₂),2723.963326
Energy Institute,European Union #,,2023,CO₂ emissions from energy (MtCO₂),2517.578461
Energy Institute,Non-OECD,,1965,CO₂ emissions from energy (MtCO₂),3481.576597
Energy Institute,Non-OECD,,1966,CO₂ emissions from energy (MtCO₂),3683.234096
Energy Institute,Non-OECD,,1967,CO₂ emissions from energy (MtCO₂),3774.961519
Energy Institute,Non-OECD,,1968,CO₂ emissions from energy (MtCO₂),3909.136305
Energy Institute,Non-OECD,,1969,CO₂ emissions from energy (MtCO₂),4174.032879
Energy Institute,Non-OECD,,1970,CO₂ emissions from energy (MtCO₂),4488.934592
Energy Institute,Non-OECD,,1971,CO₂ emissions from energy (MtCO₂),4814.596176
Energy Institute,Non-OECD,,1972,CO₂ emissions from energy (MtCO₂),5081.133061
Energy Institute,Non-OECD,,1973,CO₂ emissions from energy (MtCO₂),5354.286784
Energy Institute,Non-OECD,,1974,CO₂ emissions from energy (MtCO₂),5543.493173
Energy Institute,Non-OECD,,1975,CO₂ emissions from energy (MtCO₂),5862.628428
Energy Institute,Non-OECD,,1976,CO₂ emissions from energy (MtCO₂),6132.10326
Energy Institute,Non-OECD,,1977,CO₂ emissions from energy (MtCO₂),6478.083173
Energy Institute,Non-OECD,,1978,CO₂ emissions from energy (MtCO₂),6798.034038
Energy Institute,Non-OECD,,1979,CO₂ emissions from energy (MtCO₂),7069.618987
