source,region,country,year,metric_type,value
Energy Institute,European Union #,,2000,Primary energy consumption (EJ),64.88814617
Energy Institute,European Union #,,2001,Primary energy consumption (EJ),66.08613021
Energy Institute,European Union #,,2002,Primary energy consumption (EJ),65.70016753
Energy Institute,European Union #,,2003,Primary energy consumption (EJ),66.89395369
Energy Institute,European Union #,,2004,Primary energy consumption (EJ),67.85203509
Energy Institute,European Union #,,2005,Primary energy consumption (EJ),67.88506761
Energy Institute,European Union #,,2006,Primary energy consumption (EJ),68.31641848
Energy Institute,European Union #,,2007,Primary energy consumption (EJ),67.5136971
Energy Institute,European Union #,,2008,Primary energy consumption (EJ),67.25390472
Energy Institute,European Union #,,2009,Primary energy consumption (EJ),63.22339129
Energy Institute,European Union #,,2010,Primary energy consumption (EJ),65.81702952
Energy Institute,European Union #,,2011,Primary energy consumption (EJ),63.88086367
Energy Institute,European Union #,,2012,Primary energy consumption (EJ),63.18902237
Energy Institute,European Union #,,2013,Primary energy consumption (EJ),62.74041486
Energy Institute,European Union #,,2014,Primary energy consumption (EJ),60.53917308
Energy Institute,European Union #,,2015,Primary energy consumption (EJ),61.37502513
Energy Institute,European Union #,,2016,Primary energy consumption (EJ),62.01229054
Energy Institute,European Union #,,2017,Primary energy consumption (EJ),62.98269657
Energy Institute,European Union #,,2018,Primary energy consumption (EJ),62.79346826
Energy Institute,European Union #,,2019,Primary energy consumption (EJ),61.75766922
Energy Institute,European Union #,,2020,Primary energy consumption (EJ),57.11265635
Energy Institute,European Union #,,2021,Primary energy consumption (EJ),60.21390179
Energy Institute,European Union #,,2022,Primary energy consumption (EJ),57.85391028
Energy Institute,European Union #,,2023,Primary energy consumption (EJ),56.3833558
Energy Institute,Non-OECD,,2000,Primary energy consumption (EJ),164.9102302
Energy Institute,Non-OECD,,2001,Primary energy consumption (EJ),170.5533274
Energy Institute,Non-OECD,,2002,Primary energy consumption (EJ),177.0068704
Energy Institute,Non-OECD,,2003,Primary energy consumption (EJ),189.3872007
Energy Institute,Non-OECD,,2004,Primary energy consumption (EJ),206.1659323
Energy Institute,Non-OECD,,2005,Primary energy consumption (EJ),219.2758144
Energy Institute,Non-OECD,,2006,Primary energy consumption (EJ),231.9194663
Energy Institute,Non-OECD,,2007,Primary energy consumption (EJ),244.8310589
Energy Institute,Non-OECD,,2008,Primary energy consumption (EJ),253.2388888
Energy Institute,Non-OECD,,2009,Primary energy consumption (EJ),257.1145763
Energy Institute,Non-OECD,,2010,Primary energy consumption (EJ),272.183851
Energy Institute,Non-OECD,,2011,Primary energy consumption (EJ),286.3533189
Energy Institute,Non-OECD,,2012,Primary energy consumption (EJ),295.7791889
Energy Institute,Non-OECD,,2013,Primary energy consumption (EJ),302.6644786
Energy Institute,Non-OECD,,2014,Primary energy consumption (EJ),310.3237983
Energy Institute,Non-OECD,,2015,Primary energy consumption (EJ),313.8931159
Energy Institute,Non-OECD,,2016,Primary energy consumption (EJ),318.3640202
Energy Institute,Non-OECD,,2017,Primary energy consumption (EJ),328.977265
Energy Institute,Non-OECD,,2018,Primary energy consumption (EJ),340.8142387
Energy Institute,Non-OECD,,2019,Primary energy consumption (EJ),349.5199429
Energy Institute,Non-OECD,,2020,Primary energy consumption (EJ),345.6942444
Energy Institute,Non-OECD,,2021,Primary energy consumption (EJ),364.068363
Energy Institute,Non-OECD,,2022,Primary energy consumption (EJ),373.8000625
