source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,European Union,,2000,Primary energy consumption (EJ),0.024894497
Energy Institute,Biofuels,European Union,,2001,Primary energy consumption (EJ),0.030002861
Energy Institute,Biofuels,European Union,,2002,Primary energy consumption (EJ),0.038433142
Energy Institute,Biofuels,European Union,,2003,Primary energy consumption (EJ),0.048712923
Energy Institute,Biofuels,European Union,,2004,Primary energy consumption (EJ),0.070174352
Energy Institute,Biofuels,European Union,,2005,Primary energy consumption (EJ),0.113908614
Energy Institute,Biofuels,European Union,,2006,Primary energy consumption (EJ),0.183977498
Energy Institute,Biofuels,European Union,,2007,Primary energy consumption (EJ),0.275304019
Energy Institute,Biofuels,European Union,,2008,Primary energy consumption (EJ),0.366017264
Energy Institute,Biofuels,European Union,,2009,Primary energy consumption (EJ),0.442516871
Energy Institute,Biofuels,European Union,,2010,Primary energy consumption (EJ),0.496815857
Energy Institute,Biofuels,European Union,,2011,Primary energy consumption (EJ),0.531954457
Energy Institute,Biofuels,European Union,,2012,Primary energy consumption (EJ),0.590580162
Energy Institute,Biofuels,European Union,,2013,Primary energy consumption (EJ),0.50486895
Energy Institute,Biofuels,European Union,,2014,Primary energy consumption (EJ),0.537478959
Energy Institute,Biofuels,European Union,,2015,Primary energy consumption (EJ),0.543268251
Energy Institute,Biofuels,European Union,,2016,Primary energy consumption (EJ),0.542936345
Energy Institute,Biofuels,European Union,,2017,Primary energy consumption (EJ),0.576807083
Energy Institute,Biofuels,European Union,,2018,Primary energy consumption (EJ),0.638833604
Energy Institute,Biofuels,European Union,,2019,Primary energy consumption (EJ),0.640443407
Energy Institute,Biofuels,European Union,,2020,Primary energy consumption (EJ),0.680176631
Energy Institute,Biofuels,European Union,,2021,Primary energy consumption (EJ),0.706315323
Energy Institute,Biofuels,European Union,,2022,Primary energy consumption (EJ),0.733983099
Energy Institute,Biofuels,European Union,,2023,Primary energy consumption (EJ),0.740471546
Energy Institute,Biofuels,Non-OECD,,2000,Primary energy consumption (EJ),0.310082186
