source,consumer_type,consumption_band,tax,iso2,period,metric_type,value,is_flagged
Eurostat,Household,KWH1000-2499,I_TAX,AL,2007-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2007-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2008-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2008-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2009-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2009-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2010-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2010-S2,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2011-S1,Electricity price (EUR per KWH),0.1152,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2011-S2,Electricity price (EUR per KWH),0.1157,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2012-S1,Electricity price (EUR per KWH),0.1163,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2012-S2,Electricity price (EUR per KWH),0.1167,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2013-S1,Electricity price (EUR per KWH),0.1156,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2013-S2,Electricity price (EUR per KWH),0.1154,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2014-S1,Electricity price (EUR per KWH),0.1156,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2014-S2,Electricity price (EUR per KWH),0.116,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2015-S1,Electricity price (EUR per KWH),0.0812,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2015-S2,Electricity price (EUR per KWH),0.0819,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2016-S1,Electricity price (EUR per KWH),0.0824,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2016-S2,Electricity price (EUR per KWH),0.0835,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2017-S1,Electricity price (EUR per KWH),0.0844,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2017-S2,Electricity price (EUR per KWH),0.0856,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2018-S1,Electricity price (EUR per KWH),,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2018-S2,Electricity price (EUR per KWH),0.091,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2019-S1,Electricity price (EUR per KWH),0.092,e
Eurostat,Household,KWH1000-2499,I_TAX,AL,2019-S2,Electricity price (EUR per KWH),0.0933,
Eurostat,Household,KWH1000-2499,I_TAX,AL,2020-S1,Electricity price (EUR per KWH),0.0922,e
