source,iso2,year,metric_type,value_tj,value_ej
Eurostat,AL,1990,FEC_EED,80157.037,0.080157037
Eurostat,AL,1991,FEC_EED,58936.777,0.058936777
Eurostat,AL,1992,FEC_EED,42802.225,0.042802225
Eurostat,AL,1993,FEC_EED,39320.853,0.039320853
Eurostat,AL,1994,FEC_EED,39284.527,0.039284527
Eurostat,AL,1995,FEC_EED,39733.375,0.039733375
Eurostat,AL,1996,FEC_EED,42943.158,0.042943158
Eurostat,AL,1997,FEC_EED,34601.953,0.034601953
Eurostat,AL,1998,FEC_EED,38590.592,0.038590592
Eurostat,AL,1999,FEC_EED,63452.054,0.063452054
Eurostat,AL,2000,FEC_EED,64131.988,0.064131988
Eurostat,AL,2001,FEC_EED,65764.512,0.065764512
Eurostat,AL,2002,FEC_EED,75309.36,0.07530936
Eurostat,AL,2003,FEC_EED,73698.331,0.073698331
Eurostat,AL,2004,FEC_EED,82600.015,0.082600015
Eurostat,AL,2005,FEC_EED,79602.45,0.07960245
Eurostat,AL,2006,FEC_EED,72506.934,0.072506934
Eurostat,AL,2007,FEC_EED,70836.75,0.07083675
Eurostat,AL,2008,FEC_EED,73986.818,0.073986818
Eurostat,AL,2009,FEC_EED,77884.967,0.077884967
Eurostat,AL,2010,FEC_EED,80193.039,0.080193039
Eurostat,AL,2011,FEC_EED,82647.788,0.082647788
Eurostat,AL,2012,FEC_EED,75829.801,0.075829801
Eurostat,AL,2013,FEC_EED,83042.596,0.083042596
Eurostat,AL,2014,FEC_EED,86532.375,0.086532375
Eurostat,AL,2015,FEC_EED,82251.859,0.082251859
Eurostat,AL,2016,FEC_EED,79788.694,0.079788694
Eurostat,AL,2017,FEC_EED,87353.609,0.087353609
Eurostat,AL,2018,FEC_EED,89642.851,0.089642851
Eurostat,AL,2019,FEC_EED,86859.525,0.086859525
Eurostat,AL,2020,FEC_EED,77744.483,0.077744483
Eurostat,AL,2021,FEC_EED,84949.677,0.084949677
Eurostat,AL,2022,FEC_EED,83598.62,0.08359862
Eurostat,AL,2023,FEC_EED,81292.484,0.081292484
Eurostat,AT,1990,FEC_EED,764342.4,0.7643424
Eurostat,AT,1991,FEC_EED,826433.26,0.82643326
Eurostat,AT,1992,FEC_EED,807131.201,0.807131201
Eurostat,AT,1993,FEC_EED,822552.291,0.822552291
Eurostat,AT,1994,FEC_EED,804380.245,0.804380245
Eurostat,AT,1995,FEC_EED,842960.643,0.842960643
Eurostat,AT,1996,FEC_EED,916386.78,0.91638678
Eurostat,AT,1997,FEC_EED,895788.005,0.895788005
Eurostat,AT,1998,FEC_EED,923450.258,0.923450258
Eurostat,AT,1999,FEC_EED,932791.864,0.932791864
Eurostat,AT,2000,FEC_EED,936401.131,0.936401131
Eurostat,AT,2001,FEC_EED,994938.624,0.994938624
Eurostat,AT,2002,FEC_EED,1002893.233,1.002893233
Eurostat,AT,2003,FEC_EED,1058365.449,1.058365449
Eurostat,AT,2004,FEC_EED,1075065.268,1.075065268
Eurostat,AT,2005,FEC_EED,1100681.23,1.10068123
Eurostat,AT,2006,FEC_EED,1103930.922,1.103930922
Eurostat,AT,2007,FEC_EED,1086277.311,1.086277311
Eurostat,AT,2008,FEC_EED,1087618.539,1.087618539
Eurostat,AT,2009,FEC_EED,1053621.055,1.053621055
Eurostat,AT,2010,FEC_EED,1108249.129,1.108249129
Eurostat,AT,2011,FEC_EED,1072681.025,1.072681025
Eurostat,AT,2012,FEC_EED,1075584.473,1.075584473
Eurostat,AT,2013,FEC_EED,1098521.032,1.098521032
Eurostat,AT,2014,FEC_EED,1054115.417,1.054115417
Eurostat,AT,2015,FEC_EED,1085178.035,1.085178035
Eurostat,AT,2016,FEC_EED,1113124.712,1.113124712
Eurostat,AT,2017,FEC_EED,1127807.891,1.127807891
Eurostat,AT,2018,FEC_EED,1111154.365,1.111154365
Eurostat,AT,2019,FEC_EED,1122752.055,1.122752055
Eurostat,AT,2020,FEC_EED,1038199.923,1.038199923
Eurostat,AT,2021,FEC_EED,1104855.818,1.104855818
Eurostat,AT,2022,FEC_EED,1052052.831,1.052052831
Eurostat,AT,2023,FEC_EED,1011967.36,1.01196736
Eurostat,BE,1990,FEC_EED,1231718.693,1.231718693
Eurostat,BE,1991,FEC_EED,1293594.872,1.293594872
Eurostat,BE,1992,FEC_EED,1301398.709,1.301398709
Eurostat,BE,1993,FEC_EED,1285835.256,1.285835256
Eurostat,BE,1994,FEC_EED,1307460.391,1.307460391
Eurostat,BE,1995,FEC_EED,1348110.226,1.348110226
Eurostat,BE,1996,FEC_EED,1439076.888,1.439076888
Eurostat,BE,1997,FEC_EED,1414679.484,1.414679484
Eurostat,BE,1998,FEC_EED,1450900.881,1.450900881
Eurostat,BE,1999,FEC_EED,1448385.332,1.448385332
Eurostat,BE,2000,FEC_EED,1471478.951,1.471478951
Eurostat,BE,2001,FEC_EED,1535254.897,1.535254897
Eurostat,BE,2002,FEC_EED,1455006.132,1.455006132
Eurostat,BE,2003,FEC_EED,1508913.602,1.508913602
Eurostat,BE,2004,FEC_EED,1497287.307,1.497287307
Eurostat,BE,2005,FEC_EED,1480367.446,1.480367446
Eurostat,BE,2006,FEC_EED,1462756.673,1.462756673
Eurostat,BE,2007,FEC_EED,1416592.09,1.41659209
Eurostat,BE,2008,FEC_EED,1478062.228,1.478062228
Eurostat,BE,2009,FEC_EED,1432242.539,1.432242539
Eurostat,BE,2010,FEC_EED,1539139.211,1.539139211
Eurostat,BE,2011,FEC_EED,1423492.191,1.423492191
Eurostat,BE,2012,FEC_EED,1435919.651,1.435919651
Eurostat,BE,2013,FEC_EED,1475851.15,1.47585115
Eurostat,BE,2014,FEC_EED,1374942.271,1.374942271
Eurostat,BE,2015,FEC_EED,1445402.73,1.44540273
Eurostat,BE,2016,FEC_EED,1455424.957,1.455424957
Eurostat,BE,2017,FEC_EED,1441711.3,1.4417113
Eurostat,BE,2018,FEC_EED,1454173.967,1.454173967
Eurostat,BE,2019,FEC_EED,1424692.22,1.42469222
Eurostat,BE,2020,FEC_EED,1337402.433,1.337402433
Eurostat,BE,2021,FEC_EED,1438631.358,1.438631358
Eurostat,BE,2022,FEC_EED,1334959.157,1.334959157
Eurostat,BE,2023,FEC_EED,1310536.003,1.310536003
Eurostat,BG,1990,FEC_EED,678397.234,0.678397234
Eurostat,BG,1991,FEC_EED,509122.991,0.509122991
Eurostat,BG,1992,FEC_EED,452469.902,0.452469902
Eurostat,BG,1993,FEC_EED,442659.723,0.442659723
Eurostat,BG,1994,FEC_EED,441377.885,0.441377885
Eurostat,BG,1995,FEC_EED,463336.937,0.463336937
Eurostat,BG,1996,FEC_EED,470932.973,0.470932973
Eurostat,BG,1997,FEC_EED,432657.038,0.432657038
Eurostat,BG,1998,FEC_EED,419824.004,0.419824004
Eurostat,BG,1999,FEC_EED,365660.581,0.365660581
Eurostat,BG,2000,FEC_EED,363283.467,0.363283467
Eurostat,BG,2001,FEC_EED,364459.572,0.364459572
Eurostat,BG,2002,FEC_EED,364723.884,0.364723884
Eurostat,BG,2003,FEC_EED,389791.437,0.389791437
Eurostat,BG,2004,FEC_EED,389196.582,0.389196582
Eurostat,BG,2005,FEC_EED,409204.076,0.409204076
Eurostat,BG,2006,FEC_EED,423318.776,0.423318776
Eurostat,BG,2007,FEC_EED,417930.085,0.417930085
Eurostat,BG,2008,FEC_EED,410540.551,0.410540551
Eurostat,BG,2009,FEC_EED,359715.641,0.359715641
Eurostat,BG,2010,FEC_EED,369652.939,0.369652939
Eurostat,BG,2011,FEC_EED,387367.203,0.387367203
Eurostat,BG,2012,FEC_EED,386010.515,0.386010515
Eurostat,BG,2013,FEC_EED,367410.943,0.367410943
Eurostat,BG,2014,FEC_EED,376224.063,0.376224063
Eurostat,BG,2015,FEC_EED,397341.759,0.397341759
Eurostat,BG,2016,FEC_EED,403999.463,0.403999463
Eurostat,BG,2017,FEC_EED,414344.969,0.414344969
Eurostat,BG,2018,FEC_EED,415386.419,0.415386419
Eurostat,BG,2019,FEC_EED,412493.554,0.412493554
Eurostat,BG,2020,FEC_EED,398818.666,0.398818666
Eurostat,BG,2021,FEC_EED,427001.325,0.427001325
Eurostat,BG,2022,FEC_EED,415411.171,0.415411171
Eurostat,BG,2023,FEC_EED,401364.748,0.401364748
Eurostat,CY,1990,FEC_EED,46122.824,0.046122824
Eurostat,CY,1991,FEC_EED,53917.646,0.053917646
Eurostat,CY,1992,FEC_EED,55239.872,0.055239872
Eurostat,CY,1993,FEC_EED,54704.25,0.05470425
Eurostat,CY,1994,FEC_EED,56656.38,0.05665638
Eurostat,CY,1995,FEC_EED,59696.691,0.059696691
Eurostat,CY,1996,FEC_EED,61880.233,0.061880233
Eurostat,CY,1997,FEC_EED,61940.86,0.06194086
Eurostat,CY,1998,FEC_EED,64879.336,0.064879336
Eurostat,CY,1999,FEC_EED,66704.204,0.066704204
Eurostat,CY,2000,FEC_EED,69069.29,0.06906929
