source,group_technology,technology,project_type,region,country,period,year,metric_type,value_category,country_value,regional_value
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2001,Total installed cost (USD/kW),Weighted average,3857.633174,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2002,Total installed cost (USD/kW),Weighted average,3213.324524,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2003,Total installed cost (USD/kW),Weighted average,3816.896567,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2005,Total installed cost (USD/kW),Weighted average,3665.802907,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2883.282163,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2007,Total installed cost (USD/kW),Weighted average,2952.914379,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2008,Total installed cost (USD/kW),Weighted average,5010.524976,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2009,Total installed cost (USD/kW),Weighted average,3204.209829,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2010,Total installed cost (USD/kW),Weighted average,3033.767923,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2011,Total installed cost (USD/kW),Weighted average,3004.292716,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2012,Total installed cost (USD/kW),Weighted average,3003.727884,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2942.091266,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2014,Total installed cost (USD/kW),Weighted average,2594.386901,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2242.474348,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2016,Total installed cost (USD/kW),Weighted average,2343.243726,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2018.369435,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2018,Total installed cost (USD/kW),Weighted average,2057.762898,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2019,Total installed cost (USD/kW),Weighted average,1812.297312,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1665.115233,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1275.739047,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1091.143504,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1079.484423,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1990,Total installed cost (USD/kW),Weighted average,3778.990222,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1992,Total installed cost (USD/kW),Weighted average,3223.378418,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1993,Total installed cost (USD/kW),Weighted average,1264.069968,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1994,Total installed cost (USD/kW),Weighted average,1672.528625,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1996,Total installed cost (USD/kW),Weighted average,2409.317359,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1999,Total installed cost (USD/kW),Weighted average,2401.732939,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2275.325942,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2001,Total installed cost (USD/kW),Weighted average,1976.305682,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2321.029221,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2003,Total installed cost (USD/kW),Weighted average,2024.452798,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2004,Total installed cost (USD/kW),Weighted average,2051.662814,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2005,Total installed cost (USD/kW),Weighted average,1964.347937,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2316.871582,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2007,Total installed cost (USD/kW),Weighted average,2570.617762,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2008,Total installed cost (USD/kW),Weighted average,2569.46969,
