source,group_technology,technology,metric_type,year,value_category,value
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2010,5th percentile,1415.42743
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2011,5th percentile,1428.628513
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2012,5th percentile,1452.399516
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2013,5th percentile,1396.9198
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2014,5th percentile,1352.153607
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2015,5th percentile,1381.900756
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2016,5th percentile,1364.23833
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2017,5th percentile,1347.851386
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2018,5th percentile,1349.073046
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2019,5th percentile,1286.802068
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2020,5th percentile,1207.509185
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2021,5th percentile,990.919539
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2022,5th percentile,830.7815806
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2023,5th percentile,777.259125
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2010,Weighted average,2272.420087
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2011,Weighted average,2247.371918
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2012,Weighted average,2114.127079
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2013,Weighted average,2182.860085
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2014,Weighted average,2103.876721
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2015,Weighted average,1910.722766
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2016,Weighted average,1915.49304
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2017,Weighted average,1917.29911
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2018,Weighted average,1819.381465
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2019,Weighted average,1724.712717
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2020,Weighted average,1552.122752
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2021,Weighted average,1470.995087
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2022,Weighted average,1321.757585
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2023,Weighted average,1160.399339
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2010,95th percentile,3194.783321
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2011,95th percentile,3249.045704
IRENA,Wind,Onshore Wind,Total installed cost (USD/kW),2012,95th percentile,3410.866065
